source,description,category,fname,BE_Classification,arousal,valence,dominance,dynamics_rms_mean,dynamics_rms_std,rhythm_attacktime_mean,rhythm_tempo_mean,rhythm_tempo_std,rhythm_pulseclarity_mean,rhythm_eventdensity_mean,rhythm_fluctuationmax_peakposmean,spectral_centroid_mean,spectral_centroid_std,spectral_brightness_mean,spectral_brightness_std,spectral_spread_mean,spectral_spread_std,spectral_skewness_mean,spectral_skewness_std,spectral_kurtosis_mean,spectral_kurtosis_std,spectral_rolloff95_mean,spectral_rolloff95_std,spectral_rolloff85_mean,spectral_rolloff85_std,spectral_spectentropy_mean,spectral_spectentropy_std,spectral_flatness_mean,spectral_flatness_std,spectral_novelty_mean,spectral_novelty_std,spectral_roughness_mean,spectral_irregularity_mean,spectral_inharmonicity_mean,spectral_mfcc_mean_1,spectral_mfcc_mean_2,spectral_mfcc_mean_3,spectral_mfcc_mean_4,spectral_mfcc_mean_5,spectral_mfcc_mean_6,spectral_mfcc_mean_7,spectral_mfcc_mean_8,spectral_mfcc_mean_9,spectral_mfcc_mean_10,spectral_mfcc_mean_11,spectral_mfcc_mean_12,spectral_mfcc_mean_13,spectral_mfcc_std_1,spectral_mfcc_std_2,spectral_mfcc_std_3,spectral_mfcc_std_4,spectral_mfcc_std_5,spectral_mfcc_std_6,spectral_mfcc_std_7,spectral_mfcc_std_8,spectral_mfcc_std_9,spectral_mfcc_std_10,spectral_mfcc_std_11,spectral_mfcc_std_12,spectral_mfcc_std_13,timbre_lowenergy_mean,timbre_lowenergy_std,timbre_spectralflux_mean,timbre_spectralflux_std,pitch_pitch_mean,tonal_keyclarity_mean,tonal_keyclarity_std,tonal_mode_mean,tonal_mode_std,tonal_hcdf_mean,tonal_hcdf_std
Expanded,LightMusic24,Music,1,H,4.181818182,6.545454545,5.73 ,0.095067,0.042815,0.0302,110.067705,0.898841,0.189203,2.166667,2.811672,5198.03766,678.426128,0.659986,0.08094,5151.307505,252.637315,1.151716,0.25742,3.65758,0.926979,15856.00566,1024.031172,11162.80349,1133.813131,0.85816,0.050038,0.415881,0.066612,0.052144,0.119516,155.023072,1.04643,0.437979,1.274385,0.527163,0.470016,0.214912,0.075365,-0.129017,0.155808,-0.041926,-0.055125,0.231611,0.074703,0.069315,0.239571,0.331121,0.239444,0.251913,0.224772,0.240654,0.263483,0.478175,0.413421,0.395327,0.453933,0.29734,0.307548,0.27437,5.268203,1.422069,48.254947,24.727503,528.017203,0.432155,0.109549,-0.023553,0.080957,0.150785,0.130867
Expanded,Sci-Fi4,Sound Effect,2,F,6.181818182,3.227272727,3.55 ,0.077893,0.039497,0.023715,115.703505,34.716839,0.145227,2.666667,2.190979,2136.374353,358.775655,0.622484,0.13926,1628.915891,296.840281,4.64867,1.379374,41.250533,18.361078,4561.190575,1190.529786,2969.108004,687.600668,0.740798,0.035932,0.050712,0.017472,0.049825,0.117063,760.182168,0.474662,0.450444,1.587438,-2.727707,0.074624,-0.400385,0.053313,-0.345296,-0.042881,-0.094698,-0.039769,-0.200793,-0.119687,-0.013853,0.092136,1.011311,0.396353,0.512404,0.297727,0.284561,0.235592,0.231077,0.176942,0.201135,0.217984,0.18119,0.162612,0.219865,5.371054,2.560911,71.886219,35.96122,625.613178,0.529449,0.150595,-0.019567,0.117713,0.268396,0.130745
Expanded,Suspense Thriller1,Sound Effect,3,FS,5.227272727,4.227272727,4.23 ,0.069022,0.038171,0.038203,138.40017,12.529529,0.27684,4.5,2.730568,2326.084952,248.152381,0.612908,0.08982,1977.158073,183.382331,3.433726,0.806566,25.080147,7.685185,5445.144957,971.157061,3587.778621,447.78217,0.699529,0.025751,0.054529,0.01292,0.041028,0.099154,147.804722,1.095271,0.315244,1.026085,-0.906485,0.817768,-0.442168,0.007844,-0.311029,-0.19992,0.194047,0.328325,0.039416,-0.193523,-0.462271,0.07317,0.656905,0.440197,0.415398,0.517056,0.244724,0.247162,0.402479,0.244816,0.447764,0.31113,0.214852,0.262994,0.200641,5.268833,2.168929,49.664474,28.268124,550.61855,0.454158,0.162282,-0.025239,0.03895,0.108528,0.105093
Expanded,Suspense Thriller2,Sound Effect,0003_b,FS,5.5,4.5,4.86 ,0.081225,0.048385,0.025925,116.451296,33.940893,0.182047,3.166667,2.502066,2433.90228,268.011782,0.623052,0.074173,2062.103837,290.519537,3.185829,0.523109,22.233417,4.722996,5634.262964,729.455424,3773.374499,334.296121,0.724598,0.017514,0.06358,0.023346,0.072204,0.144126,235.784281,0.863392,0.383657,1.227117,-0.915384,0.817159,-0.734194,-0.032849,-0.446432,-0.002757,0.342522,0.133839,-0.317383,-0.466311,-0.333448,0.016938,0.432472,0.317774,0.257066,0.344953,0.24867,0.209057,0.350453,0.272856,0.387761,0.270885,0.264377,0.25929,0.241954,5.320793,2.323706,59.662149,35.983242,555.333945,0.622735,0.088611,-0.055778,0.07818,0.169863,0.09931
Expanded,HorrorFilm7,Sound Effect,4,F,6.541666667,4.208333333,3.88 ,0.0929,0.023437,0.0335,126.061062,16.580905,0.240607,4.833333,2.926762,2313.929571,185.464572,0.599189,0.048896,1988.092345,148.310822,3.028541,0.424728,21.901267,4.664406,5305.4569,433.13282,4092.164516,403.236947,0.740562,0.01376,0.052924,0.009972,0.041774,0.108198,347.811258,0.891942,0.423031,1.518808,-0.900028,0.514469,-0.295189,0.270054,-0.451551,0.306574,-0.184168,0.024296,-0.070307,0.184171,-0.178501,-0.336885,0.307912,0.232397,0.268276,0.304006,0.258125,0.214152,0.237943,0.293217,0.287003,0.206671,0.215432,0.223994,0.160506,5.150207,1.294244,67.776311,17.871596,489.432139,0.458862,0.1199,0.017167,0.104018,0.169086,0.090438
Expanded,HorrorFilm18,Sound Effect,6,F,5.181818182,3.772727273,4.36 ,0.100364,0.05424,0.022854,124.815615,43.128123,0.095592,1.333333,3.865673,1341.544978,408.478594,0.297185,0.159887,1619.753167,269.061959,6.100336,1.997618,62.607865,31.734858,3413.32936,1062.636018,2191.727223,795.113677,0.669532,0.048704,0.039458,0.014214,0.081118,0.152221,146.819078,0.752423,0.354908,4.007017,-1.395443,0.717469,-0.201823,0.09287,-0.225286,0.060731,-0.109903,-0.043956,-0.133784,-0.135471,-0.246643,-0.280022,1.660549,0.43951,0.339684,0.388381,0.456358,0.50745,0.389533,0.27198,0.245212,0.32641,0.316282,0.350599,0.279375,5.37881,2.310052,53.938611,23.343815,361.711973,0.513256,0.075346,-0.051766,0.035794,0.064521,0.074998
Expanded,Suspense Thriller3,Sound Effect,7,F,5.44,3.16,3.24 ,0.090847,0.056322,0.026772,108.705677,45.694467,0.08086,1.5,3.344978,1551.79306,287.033443,0.376641,0.119005,1707.983393,198.804025,4.75209,1.24967,41.880399,15.506991,4104.563276,648.58424,2613.479435,621.2613,0.701068,0.03913,0.044209,0.012156,0.079623,0.138533,203.59897,0.706852,0.386365,3.058354,-1.175702,0.685858,-0.29437,0.058951,-0.531017,0.079866,-0.18949,-0.096558,-0.200186,-0.132737,-0.311382,-0.289842,0.934687,0.367929,0.266818,0.285622,0.378392,0.344513,0.354918,0.263173,0.252085,0.31452,0.35878,0.330815,0.274675,5.493076,2.461939,45.526666,23.095869,416.773815,0.543779,0.073037,-0.082741,0.051071,0.074664,0.075772
Expanded,BGM1,Music,8,FS,5.36,5.44,4.36 ,0.093376,0.028746,0.029631,100.27352,19.805045,0.297123,5.833333,3.204242,3138.295873,573.878476,0.534286,0.089984,3899.431941,566.021696,2.594127,0.457158,10.216598,3.394965,12366.21746,2464.606338,5423.584295,1420.398655,0.741234,0.03453,0.218421,0.053794,0.085783,0.171702,198.767957,1.135214,0.349085,1.650603,-0.793536,0.196702,-0.216227,0.117748,0.358044,0.459446,0.369195,0.199588,-0.076058,0.152462,-0.052967,0.171113,0.455069,0.278203,0.245653,0.255972,0.297651,0.374688,0.501058,0.484847,0.587147,0.593015,0.4094,0.217432,0.422256,5.086606,1.639759,67.044663,23.872046,884.758576,0.544044,0.126763,-0.071319,0.052401,0.113088,0.082525
Expanded,TragedyBGM1,Sound Effect,9,FS,4.681818182,5.545454545,5.45 ,0.095619,0.037923,0.023529,163.518096,39.292589,0.243616,5.5,3.020725,2317.450549,267.021483,0.49545,0.077272,2755.208017,338.142436,3.211383,0.401831,16.222671,4.127154,7651.373986,1343.708407,3766.629685,531.255753,0.716787,0.024999,0.124254,0.031091,0.047156,0.097928,196.935338,1.033286,0.410949,2.05646,-0.868136,0.22812,-0.179903,0.028251,0.044535,0.412583,0.159751,0.172675,0.453915,0.397225,-0.034868,0.280283,0.323158,0.242954,0.239488,0.20301,0.24874,0.205597,0.437382,0.6145,0.274459,0.68723,0.480618,0.163747,0.305283,5.134066,2.021937,68.635712,29.689947,785.5798,0.466394,0.102085,-0.048588,0.073114,0.125063,0.086097
Expanded,BGM2,Music,10,S,4.833333333,5.625,4.96 ,0.077121,0.038262,0.033149,156.125319,43.597176,0.340354,4.666667,3.146187,2408.021408,513.850646,0.395298,0.058824,3252.198871,759.25647,3.246328,0.687576,16.365468,7.521941,9351.266467,3078.016516,3937.062386,1131.063134,0.723163,0.030217,0.155797,0.062532,0.08224,0.152214,140.967009,1.084397,0.390317,2.560657,-0.577828,0.329418,-0.351092,0.027486,0.119533,0.088803,-0.274857,-0.176546,-0.036214,-0.121246,-0.150122,0.516499,0.38039,0.237297,0.228359,0.229503,0.240608,0.30377,0.259807,0.273502,0.280289,0.472494,0.347458,0.186336,0.27175,5.006495,2.433767,52.134474,27.065172,610.950923,0.675186,0.131422,-0.137641,0.094845,0.142459,0.089423
